
Le contexte de multi-Çtendue en cours a ÇtÇ changÇ pour la multi-Çtendue 192.168.4.0.

Typeˇ: N - AUCUN, D - DHCP B - BOOTP, U - NON SPêCIFIê, R - RêSERVATION IP
==============================================================================
Adresse IP     - Masque SousRÇs. - ID unique         -  Expiration bail  -Type
==============================================================================

192.168.4.93     - 255.255.252.0  - b4-a2-eb-a2-d9-ee   -04/11/2025 07:45:05    -D-  P123456-081-016.domain.local
192.168.4.94     - 255.255.252.0  - bc-e9-2f-cf-13-c9   -04/11/2025 07:24:39    -D-  P123456-040-001.domain.local
192.168.4.95     - 255.255.252.0  - b4-a2-eb-a2-3d-eb   -02/11/2025 16:05:29    -D-  P123456-740-001.domain.local
192.168.4.96     - 255.255.252.0  - 68-45-f1-0e-53-57   -04/11/2025 08:18:38    -D-  P123456-026-209.domain.local
192.168.4.97     - 255.255.252.0  - bc-e9-2f-db-7c-01   -01/11/2025 11:07:56    -D-  P5113018310520W.domain.local
192.168.4.98     - 255.255.252.0  - 68-45-f1-9b-98-4a   -04/11/2025 07:10:29    -D-  P123456-035-210.domain.local
192.168.4.99     - 255.255.252.0  - 68-45-f1-4b-89-4a   -04/11/2025 07:13:25    -D-  P123456-740-202.domain.local
192.168.4.100    - 255.255.252.0  - 68-45-f1-2b-46-46   -04/11/2025 08:34:44    -D-  P123456-126-208.domain.local
192.168.4.101    - 255.255.252.0  - b4-a2-eb-a2-41-ce   -30/10/2025 06:11:03    -D-  P123456-081-060.domain.local
192.168.4.102    - 255.255.252.0  - bc-e9-2f-cf-52-d7   -04/11/2025 07:42:30    -D-  P123456-400-015.domain.local
192.168.4.104    - 255.255.252.0  - b4-a2-eb-a2-3e-02   -04/11/2025 08:16:59    -D-  P123456-023-003.domain.local
192.168.4.106    - 255.255.252.0  - 6c-02-e0-00-02-fd   -04/11/2025 07:31:31    -D-  P123456-042-005.domain.local
192.168.4.107    - 255.255.252.0  - 5c-28-86-9d-99-92   -04/11/2025 07:05:46    -D-  P123456-026-403.domain.local
192.168.4.108    - 255.255.252.0  - b4-a2-eb-a2-42-15   -04/11/2025 07:54:12    -D-  P123456-021-206.domain.local
192.168.4.111    - 255.255.252.0  - bc-e9-2f-cf-aa-f5   -04/11/2025 07:33:18    -D-  P123456-040-017.domain.local
192.168.4.112    - 255.255.252.0  - 68-45-f1-05-54-57   -02/11/2025 07:13:07    -D-  P123456-102-205.domain.local
192.168.4.114    - 255.255.252.0  - 9c-eb-e8-d5-c7-70   -04/11/2025 09:05:48    -D-  P123456-108-405.domain.local
192.168.4.115    - 255.255.252.0  - 6c-02-e0-01-6a-27   -04/11/2025 08:46:35    -D-  P123456-076-037.domain.local
192.168.4.116    - 255.255.252.0  - b4-a2-eb-a2-41-e0   -03/11/2025 14:12:39    -D-  P123456-042-002.domain.local
192.168.4.117    - 255.255.252.0  -c4-ef-bb-a1-db-ee   - N'EXPIRE JAMAIS        -U-  S123456-121-TST.domain.local
192.168.4.118    - 255.255.252.0  - 68-45-f1-34-53-57   -02/11/2025 08:08:29    -D-  P123456-016-223.domain.local
192.168.4.119    - 255.255.252.0  - 6c-02-e0-01-b8-ac   -03/11/2025 16:51:23    -D-  P123456-076-024.domain.local
192.168.4.120    - 255.255.252.0  - bc-e9-2f-ce-cf-a0   -04/11/2025 07:21:13    -D-  P123456-023-006.domain.local
192.168.4.121    - 255.255.252.0  - 68-45-f1-dc-55-57   -04/11/2025 07:27:22    -D-  P123456-076-206.domain.local
192.168.4.122    - 255.255.252.0  - 9c-eb-e8-d4-88-26   -02/11/2025 11:58:57    -D-  P123456-108-406.domain.local
192.168.4.123    - 255.255.252.0  - bc-e9-2f-cf-c8-51   -04/11/2025 07:31:29    -D-  P123456-025-016.domain.local
192.168.4.124    - 255.255.252.0  - 68-45-f1-f7-09-57   -04/11/2025 07:14:12    -D-  P123456-076-201.domain.local
192.168.4.126    - 255.255.252.0  - b4-a2-eb-a2-3d-dc   -04/11/2025 07:30:09    -D-  P123456-025-022.domain.local
192.168.4.128    - 255.255.252.0  -3c-52-82-59-ed-52   - N'EXPIRE JAMAIS        -U-  S123456-026-712.domain.local
192.168.4.129    - 255.255.252.0  - bc-e9-2f-cf-b7-fb   -04/11/2025 07:51:14    -D-  P123456-400-017.domain.local
192.168.4.130    - 255.255.252.0  - 30-24-a9-ae-ce-35   -03/11/2025 09:43:22    -D-  P123456-025-006.domain.local
192.168.4.131    - 255.255.252.0  - 6c-02-e0-01-19-dc   -03/11/2025 07:03:31    -D-  P123456-400-006.domain.local
192.168.4.132    - 255.255.252.0  - bc-e9-2f-cf-04-ca   -02/11/2025 07:35:15    -D-  P123456-040-020.domain.local
192.168.4.133    - 255.255.252.0  - bc-e9-2f-ce-9f-1e   -03/11/2025 07:59:52    -D-  P123456-081-01L.domain.local
192.168.4.134    - 255.255.252.0  - b4-a2-eb-a2-d9-52   -03/11/2025 09:08:34    -D-  P123456-016-017.domain.local
192.168.4.136    - 255.255.252.0  - 68-45-f1-de-b9-4a   -04/11/2025 08:01:48    -D-  P123456-026-208.domain.local
192.168.4.137    - 255.255.252.0  - bc-e9-2f-ce-ae-a2   -04/11/2025 09:07:44    -D-  P123456-040-010.domain.local
192.168.4.138    - 255.255.252.0  - 84-ba-59-72-84-57   -04/11/2025 07:34:44    -D-  P123456-025-201.domain.local
192.168.4.139    - 255.255.252.0  - b4-a2-eb-a2-41-fe   -04/11/2025 07:21:26    -D-  P123456-044-201.domain.local
192.168.4.140    - 255.255.252.0  - b4-a2-eb-a2-3d-aa   -04/11/2025 07:48:20    -D-  P123456-026-406.domain.local
192.168.4.141    - 255.255.252.0  - 68-45-f1-b3-53-57   -03/11/2025 08:36:39    -D-  P123456-800-202.domain.local
192.168.4.142    - 255.255.252.0  - b4-a2-eb-a2-42-4c   -03/11/2025 15:56:54    -D-  P123456-074-015.domain.local
192.168.4.143    - 255.255.252.0  - 68-45-f1-35-55-57   -03/11/2025 07:22:29    -D-  P123456-023-205.domain.local
192.168.4.145    - 255.255.252.0  - bc-e9-2f-ce-7d-48   -04/11/2025 09:14:25    -D-  P123456-016-025.domain.local
192.168.4.146    - 255.255.252.0  - 68-45-f1-10-66-49   -03/11/2025 16:55:16    -D-  P123456-879-203.domain.local
192.168.4.147    - 255.255.252.0  - 68-45-f1-92-60-57   -02/11/2025 07:24:43    -D-  P123456-016-211.domain.local
192.168.4.148    - 255.255.252.0  - bc-e9-2f-cf-27-a9   -04/11/2025 08:45:24    -D-  P123456-380-001.domain.local
192.168.4.149    - 255.255.252.0  - 68-45-f1-8b-b7-4a   -04/11/2025 08:47:41    -D-  P123456-023-208.domain.local
192.168.4.151    - 255.255.252.0  - 00-30-18-cf-bd-9a   -04/11/2025 07:00:27    -D-  ek3k-cnam-0081.domain.local
192.168.4.152    - 255.255.252.0  - b4-a2-eb-a2-3d-b6   -04/11/2025 07:47:48    -D-  P123456-076-018.domain.local
192.168.4.153    - 255.255.252.0  - b4-a2-eb-a2-42-25   -03/11/2025 09:33:54    -D-  P123456-025-006.domain.local
192.168.4.158    - 255.255.252.0  - b4-a2-eb-a2-42-38   -04/11/2025 07:21:34    -D-  P123456-026-402.domain.local
192.168.4.159    - 255.255.252.0  - b4-a2-eb-a2-42-42   -04/11/2025 08:58:19    -D-  P123456-004-001.domain.local
192.168.4.161    - 255.255.252.0  - 68-45-f1-44-9d-49   -04/11/2025 09:14:19    -D-  P123456-044-211.domain.local
192.168.4.162    - 255.255.252.0  - b4-a2-eb-a2-3e-22   -04/11/2025 07:06:34    -D-  P123456-076-006.domain.local
192.168.4.164    - 255.255.252.0  - 84-ba-59-72-82-e0   -02/11/2025 16:54:24    -D-  P123456-023-403.domain.local
192.168.4.165    - 255.255.252.0  - bc-e9-2f-cf-8a-5c   -03/11/2025 07:08:46    -D-  P123456-081-02N.domain.local
192.168.4.167    - 255.255.252.0  - 30-24-a9-ae-4f-3c   -04/11/2025 07:24:19    -D-  P123456-076-025.domain.local
192.168.4.168    - 255.255.252.0  - 5c-28-86-9d-ae-d9   -04/11/2025 09:13:53    -D-  P123456-121-402.domain.local
192.168.4.169    - 255.255.252.0  - 84-ba-59-53-b5-e1   -04/11/2025 07:59:23    -D-  P123456-025-203.domain.local
192.168.4.170    - 255.255.252.0  - b4-a2-eb-a2-41-e6   -03/11/2025 09:54:50    -D-  P123456-081-03B.domain.local
192.168.4.171    - 255.255.252.0  - 6c-02-e0-00-81-17   -04/11/2025 07:28:41    -D-  P123456-081-020.domain.local
192.168.4.172    - 255.255.252.0  - 84-ba-59-48-92-13   -03/11/2025 07:11:15    -D-  P123456-026-409.domain.local
192.168.4.173    - 255.255.252.0  - 68-45-f1-da-ac-4a   -04/11/2025 08:11:46    -D-  P123456-019-201.domain.local
192.168.4.174    - 255.255.252.0  - b4-a2-eb-a2-d9-6b   -02/11/2025 08:11:26    -D-  P123456-035-216.domain.local
192.168.4.176    - 255.255.252.0  - 6c-02-e0-01-7a-f3   -04/11/2025 08:33:25    -D-  P123456-400-013.domain.local
192.168.4.178    - 255.255.252.0  - 30-24-a9-ae-7f-fc   -04/11/2025 07:35:16    -D-  P123456-042-006.domain.local
192.168.4.179    - 255.255.252.0  -a0-8c-fd-be-08-30   - N'EXPIRE JAMAIS        -U-  S123456-126-714.domain.local
192.168.4.180    - 255.255.252.0  - bc-e9-2f-ce-a7-f2   -04/11/2025 08:27:15    -D-  P123456-040-027.domain.local
192.168.4.181    - 255.255.252.0  - b4-a2-eb-a2-41-d3   -03/11/2025 07:12:48    -D-  P123456-740-215.domain.local
192.168.4.183    - 255.255.252.0  - 6c-02-e0-00-ee-62   -03/11/2025 07:26:58    -D-  P123456-400-008.domain.local
192.168.4.184    - 255.255.252.0  - b4-a2-eb-a2-d9-bd   -04/11/2025 07:46:27    -D-  P123456-010-401.domain.local
192.168.4.185    - 255.255.252.0  - 84-ba-59-48-98-1e   -04/11/2025 08:16:07    -D-  P123456-102-401.domain.local
192.168.4.188    - 255.255.252.0  - b4-a2-eb-a2-3d-b5   -02/11/2025 08:30:43    -D-  P123456-400-216.domain.local
192.168.4.189    - 255.255.252.0  - b4-a2-eb-a2-41-f8   -04/11/2025 07:19:47    -D-  P123456-023-001.domain.local
192.168.4.193    - 255.255.252.0  - bc-e9-2f-cf-aa-2c   -30/10/2025 05:59:30    -D-  P123456-074-025.domain.local
192.168.4.195    - 255.255.252.0  - b4-a2-eb-a2-d9-bf   -04/11/2025 07:19:09    -D-  P123456-010-213.domain.local
192.168.4.196    - 255.255.252.0  - 68-45-f1-9d-53-57   -03/11/2025 07:09:28    -D-  P123456-042-223.domain.local
192.168.4.197    - 255.255.252.0  - 68-45-f1-45-89-4a   -04/11/2025 07:29:11    -D-  P123456-026-201.domain.local
192.168.4.198    - 255.255.252.0  - b4-a2-eb-a2-d9-87   -02/11/2025 08:01:42    -D-  P123456-023-403.domain.local
192.168.4.200    - 255.255.252.0  - 68-45-f1-07-c0-4a   -03/11/2025 07:35:59    -D-  P123456-740-210.domain.local
192.168.4.201    - 255.255.252.0  - b4-a2-eb-a2-42-06   -04/11/2025 07:44:37    -D-  P123456-081-01K.domain.local
192.168.4.203    - 255.255.252.0  - 94-c6-91-fd-d3-94   -03/11/2025 03:53:55    -D-  S123456-263-902.domain.local
192.168.4.204    - 255.255.252.0  - 68-45-f1-1d-52-57   -03/11/2025 07:58:04    -D-  P123456-076-035.domain.local
192.168.4.205    - 255.255.252.0  - 30-24-a9-ae-0f-2d   -04/11/2025 07:51:13    -D-  P123456-040-018.domain.local
