id;name;etat
TimeBrokerSvc;Service Broker pour les événements horaires;RUNNING
TokenBroker;Gestionnaire de comptes web;RUNNING
TrkWks;Client de suivi de lien distribué;RUNNING
TroubleshootingSvc;Service de résolution des problèmes recommandé;STOPPED
TrustedInstaller;Programme d'installation pour les modules Windows;RUNNING
tzautoupdate;Programme de mise à jour automatique du fuseau horaire;STOPPED
UevAgentService;Service User Experience Virtualization;STOPPED
UmRdpService;Redirecteur de port du mode utilisateur des services Bureau à distance;RUNNING
upnphost;Hôte de périphérique UPnP;STOPPED
UserManager;Gestionnaire des utilisateurs;RUNNING
UsoSvc;Service Orchestrator pour les mises à jour;RUNNING
VacSvc;Service de composition audio volumétrique;STOPPED
VaultSvc;Gestionnaire d'informations d'identification;RUNNING
vds;Disque virtuel;RUNNING
vmicguestinterface;Interface de services d'invité Hyper-V;STOPPED
vmicheartbeat;Service Pulsation Microsoft Hyper-V;STOPPED
vmickvpexchange;Service Échange de données Microsoft Hyper-V;STOPPED
vmicrdv;Service de virtualisation Bureau à distance Hyper-V;STOPPED
vmicshutdown;Service Arrêt de l'invité Microsoft Hyper-V;STOPPED
vmictimesync;Service Synchronisation date/heure Microsoft Hyper-V;STOPPED
vmicvmsession;Service Hyper-V PowerShell Direct;STOPPED
vmicvss;Requête du service VSS Microsoft Hyper-V;STOPPED
VSS;Cliché instantané des volumes;STOPPED
W32Time;Temps Windows;RUNNING
WaaSMedicSvc;Service Medic de Windows Update;STOPPED
WalletService;WalletService;STOPPED
WAPTService;WAPTService;RUNNING
WarpJITSvc;WarpJITSvc;STOPPED
wbengine;Service de moteur de sauvegarde en mode bloc;STOPPED
WbioSrvc;Service de biométrie Windows;RUNNING
Wcmsvc;Gestionnaire des connexions Windows;RUNNING
wcncsvc;Windows Connect Now - Registre de configuration;STOPPED
WdiServiceHost;Service hôte WDIServiceHost;RUNNING
WdiSystemHost;Hôte système de diagnostics;RUNNING
WdNisSvc;Service d'inspection réseau de l'antivirus Microsoft Defender;STOPPED
WebClient;WebClient;STOPPED
Wecsvc;Collecteur d'événements de Windows;STOPPED
WEPHOSTSVC;Service hôte du fournisseur de chiffrement Windows;STOPPED
wercplsupport;Prise en charge du Panneau de configuration Rapports de problèmes;STOPPED
WerSvc;Service de rapport d'erreurs Windows;STOPPED
WFDSConMgrSvc;Service Wi-Fi Direct Service de gestionnaire de connexions;STOPPED
WiaRpc;Événements d'acquisition d'images fixes;STOPPED
WinDefend;Service antivirus Microsoft Defender;STOPPED
WinHttpAutoProxySvc;Service de découverte automatique de Proxy Web pour les services HTTP Windows;RUNNING
Winmgmt;Infrastructure de gestion Windows;RUNNING
WinRM;Gestion à distance de Windows (Gestion WSM);STOPPED
wisvc;Service Windows Insider;STOPPED
WlanSvc;Service de configuration automatique WLAN;STOPPED
wlidsvc;Assistant Connexion avec un compte Microsoft;STOPPED
wlpasvc;Service de l'Assistant de profil local;STOPPED
WManSvc;Service de gestion de Windows;STOPPED
wmiApSrv;Carte de performance WMI;STOPPED
WMIRegistrationService;Intel(R) Management Engine WMI Provider Registration;RUNNING
WMPNetworkSvc;Service Partage réseau du Lecteur Windows Media;STOPPED
workfolderssvc;Dossiers de travail;STOPPED
WpcMonSvc;Contrôle parental;STOPPED
WPDBusEnum;Service Énumérateur d'appareil mobile;STOPPED
WpnService;Service du système de notifications Push Windows;RUNNING
wscsvc;Centre de sécurité;RUNNING
WSearch;Windows Search;RUNNING
wuauserv;Windows Update;STOPPED
WwanSvc;Service de configuration automatique WWAN;STOPPED
XblAuthManager;Gestionnaire d'authentification Xbox Live;STOPPED
XblGameSave;Jeu sauvegardé sur Xbox Live;STOPPED
XboxGipSvc;Xbox Accessory Management Service;STOPPED
XboxNetApiSvc;Service de mise en réseau Xbox Live;STOPPED
zdas;TEHTRIS EDR;RUNNING
ZoomCptService;Zoom Sharing Service;RUNNING
AarSvc_c6b4b808;Agent Activation Runtime_c6b4b808;STOPPED
BcastDVRUserService_c6b4b808;Service utilisateur de diffusion et GameDVR_c6b4b808;STOPPED
BluetoothUserService_c6b4b808;Service de support des utilisateurs du Bluetooth_c6b4b808;STOPPED
CaptureService_c6b4b808;CaptureService_c6b4b808;STOPPED
cbdhsvc_c6b4b808;Service utilisateur du Presse-papiers_c6b4b808;RUNNING
CDPUserSvc_c6b4b808;Service pour utilisateur de plateforme d'appareils connectés_c6b4b808;RUNNING
ConsentUxUserSvc_c6b4b808;ConsentUX_c6b4b808;STOPPED
CredentialEnrollmentManagerUserSvc_c6b4b808;CredentialEnrollmentManagerUserSvc_c6b4b808;STOPPED
DeviceAssociationBrokerSvc_c6b4b808;DeviceAssociationBroker_c6b4b808;STOPPED
DevicePickerUserSvc_c6b4b808;DevicePicker_c6b4b808;STOPPED
DevicesFlowUserSvc_c6b4b808;Flux d'appareils_c6b4b808;STOPPED
MessagingService_c6b4b808;MessagingService_c6b4b808;STOPPED
