id;name;etat
SensrSvc;Service de surveillance des capteurs;STOPPED
SessionEnv;Configuration des services Bureau à distance;RUNNING
SharedAccess;Partage de connexion Internet (ICS);STOPPED
ShellHWDetection;Détection matériel noyau;RUNNING
shpamsvc;Shared PC Account Manager;STOPPED
smphost;SMP de l'Espace de stockages Microsoft;STOPPED
SmsRouter;Service Routeur SMS Microsoft Windows.;STOPPED
SNMPTrap;Interruption SNMP;STOPPED
Spooler;Spouleur d'impression;RUNNING
sppsvc;Protection logicielle;STOPPED
SSDPSRV;Découverte SSDP;STOPPED
ssh-agent;OpenSSH Authentication Agent;STOPPED
sshdaemon;Pulse SSH Server;RUNNING
SstpSvc;Service SSTP (Secure Socket Tunneling Protocol);RUNNING
StateRepository;Service State Repository (StateRepository);RUNNING
StiSvc;Acquisition d'image Windows (WIA);STOPPED
StorSvc;Service de stockage;RUNNING
svsvc;Vérificateur de points;STOPPED
swprv;Fournisseur de cliché instantané de logiciel Microsoft;STOPPED
SysMain;SysMain;RUNNING
SystemEventsBroker;Service Broker des événements système;RUNNING
TapiSrv;Téléphonie;STOPPED
TbtP2pShortcutService;Thunderbolt(TM) Peer to Peer Shortcut;RUNNING
TehtrisEPP;TehtrisEPP Agent;RUNNING
TermService;Services Bureau à distance;RUNNING
TextInputManagementService;Service de gestion des entrées de texte;RUNNING
Themes;Thèmes;RUNNING
TieringEngineService;Gestion des niveaux de stockage;STOPPED
TimeBrokerSvc;Service Broker pour les événements horaires;RUNNING
TokenBroker;Gestionnaire de comptes web;RUNNING
TrkWks;Client de suivi de lien distribué;STOPPED
TroubleshootingSvc;Service de résolution des problèmes recommandé;STOPPED
TrustedInstaller;Programme d'installation pour les modules Windows;STOPPED
tzautoupdate;Programme de mise à jour automatique du fuseau horaire;STOPPED
UevAgentService;Service User Experience Virtualization;STOPPED
UmRdpService;Redirecteur de port du mode utilisateur des services Bureau à distance;RUNNING
upnphost;Hôte de périphérique UPnP;STOPPED
UserManager;Gestionnaire des utilisateurs;RUNNING
UsoSvc;Service Orchestrator pour les mises à jour;RUNNING
VaultSvc;Gestionnaire d'informations d'identification;RUNNING
vds;Disque virtuel;RUNNING
vmicguestinterface;Interface de services d'invité Hyper-V;STOPPED
vmicheartbeat;Service Pulsation Microsoft Hyper-V;STOPPED
vmickvpexchange;Service Échange de données Microsoft Hyper-V;STOPPED
vmicrdv;Service de virtualisation Bureau à distance Hyper-V;STOPPED
vmicshutdown;Service Arrêt de l'invité Microsoft Hyper-V;STOPPED
vmictimesync;Service Synchronisation date/heure Microsoft Hyper-V;STOPPED
vmicvmsession;Service Hyper-V PowerShell Direct;STOPPED
vmicvss;Requête du service VSS Hyper-V;STOPPED
VSS;Cliché instantané des volumes;STOPPED
W32Time;Temps Windows;RUNNING
WaaSMedicSvc;WaaSMedicSvc;STOPPED
WalletService;WalletService;STOPPED
WAPTService;WAPTService;RUNNING
WarpJITSvc;Warp JIT Service;STOPPED
wbengine;Service de moteur de sauvegarde en mode bloc;STOPPED
WbioSrvc;Service de biométrie Windows;STOPPED
Wcmsvc;Gestionnaire des connexions Windows;RUNNING
wcncsvc;Windows Connect Now - Registre de configuration;STOPPED
WdiServiceHost;Service hôte WDIServiceHost;RUNNING
WdiSystemHost;Hôte système de diagnostics;RUNNING
WdNisSvc;Service d'inspection réseau de l'antivirus Microsoft Defender;STOPPED
WebClient;WebClient;STOPPED
webthreatdefsvc;Service Web Threat Defense;RUNNING
Wecsvc;Collecteur d'événements de Windows;STOPPED
WEPHOSTSVC;Service hôte du fournisseur de chiffrement Windows;STOPPED
wercplsupport;Prise en charge du Panneau de configuration Rapports de problèmes;STOPPED
WerSvc;Service de rapport d'erreurs Windows;STOPPED
WFDSConMgrSvc;Service Wi-Fi Direct Service de gestionnaire de connexions;STOPPED
whesvc;Intégrité de Windows et expériences optimisées;RUNNING
WiaRpc;Événements d'acquisition d'images fixes;STOPPED
WinDefend;Service antivirus Microsoft Defender;STOPPED
WinHttpAutoProxySvc;Service de découverte automatique de Proxy Web pour les services HTTP Windows;RUNNING
Winmgmt;Infrastructure de gestion Windows;RUNNING
WinRM;Gestion à distance de Windows (Gestion WSM);STOPPED
wisvc;Service Windows Insider;RUNNING
WlanSvc;Service de configuration automatique WLAN;STOPPED
wlidsvc;Assistant Connexion avec un compte Microsoft;RUNNING
wlpasvc;Service de l'Assistant de profil local;STOPPED
WManSvc;Service de gestion de Windows;STOPPED
wmiApSrv;Carte de performance WMI;STOPPED
WMIRegistrationService;Intel(R) Management Engine WMI Provider Registration;RUNNING
WMPNetworkSvc;Service de partage réseau du Lecteur multimédia Windows;STOPPED
workfolderssvc;Dossiers de travail;STOPPED
WpcMonSvc;Contrôle parental;STOPPED
WPDBusEnum;Service Énumérateur d'appareil mobile;STOPPED
WpnService;Service du système de notifications Push Windows;RUNNING
WSAIFabricSvc;WSAIFabricSvc;RUNNING
wscsvc;Centre de sécurité;RUNNING
WSearch;Windows Search;RUNNING
wuauserv;Windows Update;RUNNING
